Commet,label
በጣም ደስ ይላል መራክል እንኳን ደስ አለሽ ኢትዮጵያ በጣም ደስ ይላል።,ስላቅ አይደለም
በጀርባ የሚወጉ አጭበርባሪ እናተ የህዝብ ተወካይ ተባዬች የሚያደርጉትን ግፍ እያወቃችሁ ዝምታን መረጣችሁ ህዝብ ወክሏችሁ እና ተናገሩልኝ ብሎ እናተ ግን ዝም አላችሁ ሆዳችሁ አምላክ ሆነ ታማኝነታችሁ ለማን እንደሆነ ታይቷል ዎጋ ትከፍላላችሁ,ስላቅ አይደለም
ወዳጄ ቅዘን ሚባል አስቀያሚ ነገር ከውስጣችን ሚወጣውን አንርሳ!!!,ስላቅ አይደለም
መጀመሪያም ፓስታ ተመግቦ ኤዶ ውጤት ከየት ይመጣል,ስላቅ
በእውነት ደርና ጅወር የጠያቂና ተጠያቂ ብቃታቹ ወደር የለውምን በተለይ የጦርነት ስህት ና ውጥንቅጥ የወጣ ኤርትራ ጋብቻ ውል የሌሎው ያለማሰርያ የተጠለጠለ ነው ያልከው የሚገርም እውነት በቃኝ ሌላ ነገሮች መስማት የዘጋቹሉኝ ይመስለኛል,ስላቅ አይደለም
ለምን የገባ ነዉ??????,ስላቅ አይደለም
ጅቡቲም ሀገር ሆና ነጥብ አስጣለችን አይ ኢትዮጵያ,ስላቅ
እውነትም ብዘጋ ከጉዳቱ ይልቅ ጥቅሙ ይመዝናል ምክንያቱም ጤናማ ዜጋን ለመፍጠር የtiktok መዘጋት አማራጭ የለሌው ጉዳይ ነው ፊትህ ለአይናችን : ለአይምሯችንና የቤተሰብን መወያየት ላጣን. ስላቅ አይደለምo more tiktok 🙅🙅,ስላቅ አይደለም
በመጀመርያ ኦርቶዶክስ ጰንጤ ሚባል ከፋፋይ ነው አንድ ሰው በእውነት ከልቡ ንሰሃ ገብቶ ጌታን ተቀብሎ ዳግም ተወልዶ ከልቡና በእውነትጌታን ከተከተለ ስለእርሱ እናመሰግናለን ደስም ይለናል። በእኔ ግምገማ ከኦርቶዶክስም ከጴንጤም ገና ንሰሃ መግባት ጌታን መቀበልና መከተል የሚያስፈልጋቸው አገልጋይ መሳይ ከፋፋይ አግላይና ገዳዩች አሉ። ሰውየው ኦርቶዶክስ ጴንጤ ካቶሊክ እስላም ሳይለዩ የሰው ልጅን የሚጠሉ የሚያሳድዱ በጸሓፊነታቸው የሚደነቁ በጥላቻቸው እጅግ የሚጠሉ ሰው ናቸው። እንደ ሳኦል ጌታ ተገናኝቷቸው ከሆነ በጌታ ስራ አልቃወምም እርሱ መዳን የለበትም ብየ ፊቴን አልቧጭርም ይልቁንስ በእውነት ንሰሃ ገብተው ጌታን ተቀብለው ከሆነ አንድ ክፉ ሰው ወደ ጌታ መጥቷልና በደስታ ሀሴት አድርጋለሁ።,ስላቅ አይደለም
ለዚህ እኮ ነው የሀገሪቱ መከራ የበዛው ግብራችሁ ሴጣን የሚቀናበት የታይታ ሀይማኖተኝነትቅድስት አገር ምናምን እያሉ መቀላመድ ከዛ ሲጨንቃችሁ ደግሞ ጥቅስ መ,ስላቅ አይደለም
እኔን የምያሳዝነኝ በርካታ የልማትና መሰረታዊ የሰው ልጅ ፍላጎቶች ሳይሟላ በችግር አረንቋ ውስጥ ካለው ማህበረሰብ ተቆርጦ ለእነዝ ተስፋ ለለሉ ተጫዋቾች የምፈሰው የገንዘብ ክሳራ ወደ ልማት ብዞር እላለሁ።,ስላቅ አይደለም
